carrera,legajo,plan,fecha_ingreso,calidad,localidad_nacimiento,colegio_secundario,titulo_secundario
206,5390,S95,23/04/02,E,TANDIL,COLEGIO CENTRAL UNIVERSITARIO MARIANO MORENO,Bachiller Modalidad Economía y Gestión de las Organizaciones
206,5197,S95,23/04/02,A,MAR DEL PLATA,SAN JOSE,BACHILLER
206,5249,S95,23/04/02,A,,SAN PABLO,
206,3202,S95,23/04/02,E,AZUL,NUESTRA SEÑORA DE FATIMA,BACHILLER CON ORIENTACION EN COMPUTACION
201,350,2004,23/04/02,E,BALCARCE,GRAL. M. S. BELGRANO,TÉCNICO
211,350,2004,29/05/12,A,BALCARCE,GRAL. M. S. BELGRANO,TÉCNICO
206,3891,S95,23/04/02,E,NECOCHEA,NUESTRA SRA. DE LOS DESAMPARADOS,TÉCNICO EN COMPUTACION
206,3589,S95,23/04/02,A,MIRAMAR,SAN VICENTE FERRER,TÉCNICO ELECTRONICO
206,5277,S95,23/04/02,A,MAR DEL PLATA,COLEGIO EL TRANSITO,TÉCNICO ELECTRONICO
206,4959,S95,23/04/02,A,MAR DEL PLATA,COLEGIO EL TRANSITO,TÉCNICO ELECTRONICO
206,5941,S95,23/04/02,E,,COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO,BACHILLER CON CAPACITACION LABORAL EN ECON. Y GESTION DE LAS ORGAN.
206,1676,S95,23/04/02,E,,SANTA MARIA,TÉCNICO ELECTROMECANICO
206,815,S95,23/04/02,A,GENERAL PIRAN,SANTA ROSA DE LIMA,BACHILLER
206,2868,S95,23/04/02,E,MAR DEL PLATA,COLEGIO NACIONAL TEODOSIO FRANCO GARCIA,BACHILLER
206,5355,S95,23/04/02,E,MAR DEL PLATA,INSTITUTO PERALTA RAMOS,Bachiller Modalidad Economía y Gestión de las Organizaciones
206,3249,S95,23/04/02,A,MAR DEL PLATA,ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO,TÉCNICO EN COMPUTACION
206,2642,S95,24/04/02,E,MAR DEL PLATA,INSTITUTO PERALTA RAMOS,Bachiller Modalidad Ciencias Naturales
206,975,S95,24/04/02,A,TANDIL,COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO,BACHILLER
206,293,S95,24/04/02,A,Ciudad Autónoma de Buenos Aires,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
206,4967,S95,24/04/02,E,,ESCUELA INDUSTRIAL Nº4 CENTRO DE CAPACITACION TECNICA Nº5,BACHILLER ACELERADO PARA ADULTOS C/ORIENTACION PERITO ADM.PUB.
206,5121,S95,24/04/02,A,MAR DEL PLATA,ESCUELA NACIONAL DE COMERCIO NOCTURNA DOCTOR SANTIAGO SEGUNDO CORTINEZ,
206,1195,S95,24/04/02,N,OLAVARRIA,ESCUELA JUAN PABLO ECHAGUE,BACHILLER CON ORIENTACION EN GEST. Y ADMINISTRACION
206,6034,S95,24/04/02,A,AZUL,COLEGIO SANTO DOMINGO,HUMANIDADES Y CIENCIAS SOCIALES
206,4061,S95,24/04/02,A,VILLA CARLOS PAZ,COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO,
206,6320,S95,24/04/02,A,MAR DEL PLATA,SANTO TOMAS DE AQUINO,BACHILLER CON ORIENTACION SOCIAL
206,192,S95,24/04/02,E,MAR DEL PLATA,EL TRANSITO DE NUESTRA SEÑORA,BACHILLER
206,1032,S95,24/04/02,A,,ESCUELA NACIONAL DE COMERCIO NOCTURNA DOCTOR SANTIAGO SEGUNDO CORTINEZ,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
206,2353,S95,24/04/02,A,,NUESTRA SRA. DE LOS DESAMPARADOS,TÉCNICO EN COMPUTACION
212,2353,2007,05/04/10,A,,NUESTRA SRA. DE LOS DESAMPARADOS,TÉCNICO EN COMPUTACION
206,4621,S95,24/04/02,A,MAR DEL PLATA,PROFESOR JAVIER FROILAN FERRERO,BACHILLER
206,2819,S95,24/04/02,P,CORDOBA,SARACHO,BACHILLER
206,2719,S95,24/04/02,A,JUAN N. FERNANDEZ,JUAN PABLO II,BACHILLER EN CIENCIAS EXACTAS Y NATURALES
206,2480,S95,25/04/02,A,,SARMIENTO,BACHILLER CON ORIENTACION DOCENTE
207,2480,1997,23/03/09,N,,SARMIENTO,BACHILLER CON ORIENTACION DOCENTE
208,2480,2010,15/08/11,A,,SARMIENTO,BACHILLER CON ORIENTACION DOCENTE
201,2958,2004,25/04/02,A,LOBERIA,SOTERO S. ARIZU,BACHILLER EN CIENCIAS EXACTAS Y NATURALES
201,3489,1999,25/04/02,N,NECOCHEA,ING. PABLO NOGUES Nº 04-111,BACHILLER
