carrera,legajo,plan,fecha_ingreso,calidad,localidad_nacimiento,colegio_secundario,titulo_secundario
206,390,S95,01/04/99,A,SAN LUIS,,
206,5568,S95,01/04/99,A,MAR DEL PLATA,,
206,4055,S95,01/04/99,A,OLAVARRIA,,
206,219,S95,01/04/99,A,TANDIL,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
206,3124,S95,01/04/99,A,NECOCHEA,ALAS ARGENTINAS,PERITO MERCANTIL
206,2147,S95,01/04/99,A,COMODORO RIVADAVIA,ANGEL ZERDA,TÉCNICO MECANICO
206,1444,S95,01/04/99,A,,ESCUELA DE COMERCIO NICOLAS ECHEZARRETA,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
212,1444,2007,26/02/10,A,,ESCUELA DE COMERCIO NICOLAS ECHEZARRETA,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
209,1895,1998,01/04/99,A,SAN LUIS,,
206,2054,S95,01/04/99,A,MAR DEL PLATA,GRAL. M. S. BELGRANO,BACHILLER CON ESPECIALIZACION EN CIENCIAS EXACTAS Y NATURALES
206,5493,S95,01/04/99,A,Ciudad Autónoma de Buenos Aires,ESCUELA INDUSTRIAL DOMINGO F. SARMIENTO,
206,4612,S95,01/04/99,A,OLAVARRIA,,
206,6487,S95,01/04/99,A,MAR DEL PLATA,ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO,TÉCNICO EN COMPUTACION
206,4977,S95,01/04/99,A,RAUCH,,
206,4731,S95,01/04/99,A,TANDIL,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
206,6159,S95,01/04/99,A,TANDIL,ALBERTO SCWEITCER,BACHILLER CON ORIENTACION EN GEST. Y ADMINISTRACION
210,6159,2000,01/04/99,E,TANDIL,ALBERTO SCWEITCER,BACHILLER CON ORIENTACION EN GEST. Y ADMINISTRACION
206,54,S95,01/04/99,A,TANDIL,COLEGIO NACIONAL GENERAL DON TORIBIO DE LUZURIAGA,BACHILLER EN CIENCIAS EXACTAS Y NATURALES
206,3207,S95,01/04/99,A,GENERAL MADARIAGA,,BACHILLER EN GESTION Y ADMINISTRACION
206,1107,S95,01/04/99,A,TANDIL,,
206,282,S95,01/04/99,E,TANDIL,COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO,BACHILLER
206,2064,S95,01/04/99,A,SAN MARTIN,,
206,5034,S95,01/04/99,E,TANDIL,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER CON ORIENTACION EN GEST. Y ADMINISTRACION
206,810,S95,01/04/99,A,TANDIL,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER CON ORIENTACION DOCENTE
206,4708,S95,01/04/99,A,MAR DEL PLATA,,
206,5237,S95,01/04/99,A,BOLIVAR,,
206,6151,S95,01/04/99,A,TANDIL,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
207,6151,1997,14/02/03,A,TANDIL,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
206,686,S95,01/04/99,N,,MONS. AMERICO ORZALI,TÉCNICO QUIMICO
201,686,2004,14/04/03,A,,MONS. AMERICO ORZALI,TÉCNICO QUIMICO
205,686,2004,01/03/04,A,,MONS. AMERICO ORZALI,TÉCNICO QUIMICO
206,4557,S95,01/04/99,A,AZUL,,
206,3851,S95,01/04/99,P,MAR DEL PLATA,,
206,2949,S95,01/04/99,A,MAR DEL PLATA,,
206,4288,S95,01/04/99,A,MAR DEL PLATA,,
206,4155,S95,01/04/99,A,BOLIVAR,EL TRANSITO DE NUESTRA SEÑORA,BACHILLER CON ESPECIALIZACION EN CIENCIAS EXACTAS Y NATURALES
213,4155,2014,19/04/17,A,BOLIVAR,EL TRANSITO DE NUESTRA SEÑORA,BACHILLER CON ESPECIALIZACION EN CIENCIAS EXACTAS Y NATURALES
206,4690,S95,01/04/99,A,TANDIL,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
206,6246,S95,01/04/99,A,TRES ARROYOS,,
206,205,S95,01/04/99,A,MAR DEL PLATA,,
206,5373,S95,01/04/99,A,AZUL,E.P.E.T. Nº1 ING. ROGELIO BOERO,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
206,164,S95,01/04/99,A,TANDIL,ALFONSINA STORNI,PERITO MERCANTIL
206,3326,S95,01/04/99,A,MAR DEL PLATA,,
206,3344,S95,01/04/99,A,Ciudad Autónoma de Buenos Aires,ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO,TÉCNICO EN COMPUTACION
206,3915,S95,01/04/99,E,NECOCHEA,COLEGIO MARIANO MORENO,BACHILLER CON ORIENTACION DOCENTE
208,3915,1997,14/02/07,A,NECOCHEA,COLEGIO MARIANO MORENO,BACHILLER CON ORIENTACION DOCENTE
206,5377,S95,01/04/99,A,MAR DEL PLATA,ARNOBIO SANCHEZ,TÉCNICO ELECTRONICO
206,5295,S95,01/04/99,A,Ciudad Autónoma de Buenos Aires,ANTONIO GARBIN 4141,BACHILLER CON ORIENTACION EN GEST. Y ADMINISTRACION
206,505,S95,01/04/99,E,TRES ARROYOS,ESCUELA DE EDUCACION MEDIA N°1,BACHILLER CON ORIENTACION EN CIENCIAS SOCIALES
206,4749,S95,01/04/99,A,OLAVARRIA,INSTITUTO MOMSEÑOR DR. AUDINO RODRIGUEZ Y OLMOS,BACHILLER EN CIENCIAS SOCIALES
206,4720,S95,01/04/99,A,MAR DEL PLATA,ESCUELA Nº 4-033 LAUREANA F. DE OLAZABAL,TÉCNICO EN COMPUTACION
206,6449,S95,01/04/99,E,MAR DEL PLATA,COLEGIO DON BOSCO,BACHILLER
206,5814,S95,01/04/99,E,DARREGUEIRA,,PERITO MERCANTIL C/ORIE. IMPOSITIVA
206,2169,S95,01/04/99,A,TANDIL,COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO,BACHILLER MERCANTIL
205,4442,1995,01/04/99,A,28 DE NOVIEMBRE,,
211,3611,2004,27/04/04,A,28 DE NOVIEMBRE,,
206,1438,S95,01/04/99,A,ZARATE,NUESTRA SRA. DE LOS DESAMPARADOS,TÉCNICO EN COMPUTACION
206,4488,S95,01/04/99,A,MIRAMAR,SAN VICENTE FERRER,TÉCNICO ELECTRONICO
206,34,S95,01/04/99,A,MAR DEL PLATA,,
204,5404,1995,01/04/99,E,,,BACHILLER CONTABLE
207,3260,1997,01/04/99,A,MARCOS PAZ,,
206,1799,S95,01/04/99,E,,ALFONSINA STORNI,PERITO MERCANTIL
206,3759,S95,21/04/03,A,MAR DEL PLATA,,BACHILLER
206,5005,S95,01/04/99,E,,ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN,TÉCNICO EN COMPUTACION
206,503,S95,01/04/99,A,PEHUAJO,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
212,503,2007,05/09/07,A,PEHUAJO,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
206,2335,S95,01/04/99,P,MAR DEL PLATA,,BACHILLER EN CIENCIAS SOCIALES
207,2335,1997,05/12/02,P,MAR DEL PLATA,,BACHILLER EN CIENCIAS SOCIALES
206,3870,S95,01/04/99,A,MAR DEL PLATA,ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO,TÉCNICO EN COMPUTACION
206,1448,S95,01/04/99,A,MAR DEL PLATA,ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO,TÉCNICO EN COMPUTACION
206,4214,S95,01/04/99,A,MORENO,ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO,TÉCNICO EN COMPUTACION
206,4149,S95,01/04/99,A,,,
206,5189,S95,01/04/99,E,MAR DEL PLATA,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
206,1617,S95,01/04/99,E,MAR DEL PLATA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER
206,875,S95,01/04/99,A,TANDIL,PBRO. FRANCISCO PEREZ HERNANDEZ,BACHILLER BILINGÜE CASTELLANO-INGLES
206,4239,S95,01/04/99,A,,,PERITO MERCANTIL
212,4239,2007,05/04/10,A,,,PERITO MERCANTIL
206,579,S95,01/04/99,A,OLAVARRIA,VICTORINA L. DE NAVARRO,PERITO MERCANTIL
206,871,S95,01/04/99,A,ROSARIO,,
201,4605,1999,01/04/99,E,BENITO JUAREZ,INSTITUTO MOMSEÑOR DR. AUDINO RODRIGUEZ Y OLMOS,TÉCNICO
206,606,S95,01/04/00,A,MAR DEL PLATA,,
204,3825,2003,01/04/00,A,,MONS. AMERICO ORZALI,TÉCNICO QUIMICO
206,3981,S95,01/04/00,E,,COLEGIO NACIONAL TEODOSIO FRANCO GARCIA,BACHILLER CON ORIENTACION EN INFORMATICA
201,1934,1999,01/04/00,N,,ALFONSINA STORNI,BACHILLER CON ORIENTACION EN ALIMENTACION
205,1934,1995,01/04/00,E,,ALFONSINA STORNI,BACHILLER CON ORIENTACION EN ALIMENTACION
206,2083,S95,01/04/00,N,TANDIL,ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO,TÉCNICO EN COMPUTACION
206,4627,S95,01/04/00,A,SANTA FE,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
206,1490,S95,01/04/00,E,,TORIBIO DE LUZURIAGA,BACHILLER EN CIENCIAS EXACTAS Y NATURALES
204,2460,1995,01/04/00,N,AZUL,4 039 CRUZ DE PIEDRA,TÉCNICO EN COMPUTACION
206,2460,S95,01/04/00,N,AZUL,4 039 CRUZ DE PIEDRA,TÉCNICO EN COMPUTACION
210,2460,2000,01/04/00,A,AZUL,4 039 CRUZ DE PIEDRA,TÉCNICO EN COMPUTACION
206,306,S95,01/04/00,E,,AGROTECNICA CORNELIO SAAVEDRA,TÉCNICO ELECTRONICO
210,4058,2000,01/04/00,A,LA PLATA,,
206,3480,S95,01/04/00,E,BALCARCE,COLEGIO SECUNDARIO DR. DIEGO DE SALINAS,BACHILLER
206,6295,S95,01/04/00,N,RAUCH,AGROINDUSTRIAL MONSEÑOR DR. JUAN ANTONIO VIDELA CUELLO,BACHILLER
210,6295,2000,01/04/00,E,RAUCH,AGROINDUSTRIAL MONSEÑOR DR. JUAN ANTONIO VIDELA CUELLO,BACHILLER
206,5567,S95,01/04/00,A,MAR DEL PLATA,ANTONIA VILLASCUSA,BACHILLER CON ESPECIALIZACION EN CIENCIAS EXACTAS Y NATURALES
206,3456,S95,01/04/00,N,TANDIL,,
210,3456,2000,01/04/00,N,TANDIL,,
201,2600,1999,01/04/00,E,RAUCH,AGROINDUSTRIAL MONSEÑOR DR. JUAN ANTONIO VIDELA CUELLO,BACHILLER
205,2600,1995,01/04/00,A,RAUCH,AGROINDUSTRIAL MONSEÑOR DR. JUAN ANTONIO VIDELA CUELLO,BACHILLER
206,5289,S95,01/04/00,A,BOLIVAR,,
206,3268,S95,01/04/00,A,MANUEL J. COBO (LEZAMA),,
206,6241,S95,01/04/00,A,TANDIL,CACIQUE ANGACO,PERITO MERCANTIL
206,6023,S95,01/04/00,A,OLAVARRIA,ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN,TÉCNICO EN COMPUTACION
206,5085,S95,01/04/00,A,MAR DEL PLATA,,
206,5919,S95,01/04/00,A,MAR DEL PLATA,,
206,2112,S95,01/04/00,E,,J. L. BORGES,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
201,6109,1999,01/04/00,E,AYACUCHO,ESC.IND. DOMIGO F. SARMIENTO,BACHILLER EN CIENCIAS EXACTAS Y NATURALES
205,6109,1995,01/04/00,A,AYACUCHO,ESC.IND. DOMIGO F. SARMIENTO,BACHILLER EN CIENCIAS EXACTAS Y NATURALES
211,6109,2004,23/03/06,A,AYACUCHO,ESC.IND. DOMIGO F. SARMIENTO,BACHILLER EN CIENCIAS EXACTAS Y NATURALES
206,4604,S95,01/04/00,A,MAR DEL PLATA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER
206,5357,S95,01/04/00,A,MADARIAGA,,
206,4770,S95,01/04/00,A,ROBERTS,,PERITO MERCANTIL
206,1559,S95,01/04/00,A,Ciudad Autónoma de Buenos Aires,B. GENERAL JUAN F. QUIROGA,BACHILLER CON ESPECIALIZACION EN COMPUTACION
206,1233,S95,01/04/00,A,TANDIL,AGUSTIN ALVAREZ,BACHILLER
206,588,S95,01/04/00,A,BALCARCE,,
201,1931,1999,01/04/00,A,TANDIL,ALFONSINA STORNI,PERITO MERCANTIL AUXILIAR ADMINISTRACION DE EMPRESAS
205,1931,1995,17/12/02,A,TANDIL,ALFONSINA STORNI,PERITO MERCANTIL AUXILIAR ADMINISTRACION DE EMPRESAS
206,264,S95,01/04/00,A,BALCARCE,,
211,264,2004,15/07/14,A,BALCARCE,,
210,739,2000,01/04/00,A,TANDIL,,
210,1775,2000,01/04/00,N,Ciudad Autónoma de Buenos Aires,,
206,5028,S95,01/04/00,A,MAR DEL PLATA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,PERITO MERCANTIL
206,5815,S95,01/04/00,A,ADOLFO GONZALES CHAVES,,
210,2618,2000,01/04/00,N,MAR DEL PLATA,,
206,3335,S95,01/04/00,E,,COLEGIO JOSE MANUEL ESTRADA,BACHILLER CON ORIENTACION EN ARTES PLASTICAS
206,3700,S95,01/04/00,A,TANDIL,,
206,267,S95,01/04/00,A,9 DE JULIO,ALVARES CONDARCO,PERITO MERCANTIL
206,1402,S95,01/04/00,A,TANDIL,,
206,5438,S95,01/04/00,E,,COLEGIO SEC.AUGUSTO PULENTA,BACHILLER TÉCNICO EN INFORMATICA
206,939,S95,01/04/00,A,TANDIL,,
210,780,2000,01/04/00,A,TANDIL,ALFONSINA STORNI,BACHILLER
210,4678,2000,01/04/00,E,BENITO JUAREZ,MONS. AMERICO ORZALI,TÉCNICO QUIMICO
201,4256,2004,01/04/00,A,TANDIL,ALFONSINA STORNI,BACHILLER CONTABLE ESP. EN ADM. ORG. EMP.
206,2706,S95,01/04/00,A,Ciudad Autónoma de Buenos Aires,,
206,3467,S95,01/04/00,A,MAR DEL PLATA,ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO,
206,4281,S95,01/04/00,A,,,
206,2812,S95,01/04/00,A,TANDIL,,
206,3660,S95,01/04/00,A,MAR DEL PLATA,ESCUELA NACIONAL DE COMERCIO NOCTURNA DOCTOR SANTIAGO SEGUNDO CORTINEZ,BACHILLER AUXILIAR EN PROGRAMACION
204,836,1995,01/04/00,N,BOLIVAR,ING. ANTONIO ARBOIT Nº 4/ 016,
210,836,2000,01/04/00,E,BOLIVAR,ING. ANTONIO ARBOIT Nº 4/ 016,
206,285,S95,01/04/00,A,TANDIL,ALFONSINA STORNI,BACHILLER CONTABLE
210,3392,2000,01/04/00,A,TANDIL,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER CON ORIENTACION EN CIENCIAS EXACTAS
210,488,2000,01/04/00,E,TANDIL,ESCUELA NACIONAL DE EDUCACION TECNICA Nº 1 ¨ING. FELIPE SENILLOSA¨,MAESTRO MAYOR DE OBRA
206,3728,S95,01/04/00,A,TANDIL,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER COMUN
212,3728,2007,04/09/07,A,TANDIL,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER COMUN
206,854,S95,01/04/00,A,ORIENTE,,PERITO MERCANTIL Y OPERADOR DE SISTEMAS CONTABLES
206,2117,S95,01/04/00,A,LOBERIA,,
206,5161,S95,01/04/00,A,AZUL,COLEGIO NACIONAL MONSEÑOR DOCTOR PABLO CABRERA,TÉCNICO EN COMPUTACION
206,1188,S95,01/04/00,A,OLAVARRIA,INSTITUTO MOMSEÑOR DR. AUDINO RODRIGUEZ Y OLMOS,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
206,3952,S95,01/04/00,A,TANDIL,,
206,3035,S95,01/04/00,A,Indeterminada,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER
210,3750,2000,01/04/00,E,AZUL,,BACHILLER EN GESTION Y ADMINISTRACION
206,4748,S95,01/04/00,E,GENERAL PIRAN,SANTA ROSA DE LIMA,BACHILLER
206,5059,S95,01/04/00,A,DE LA GARMA,,
206,1861,S95,01/04/00,A,Ciudad Autónoma de Buenos Aires,,
206,1783,S95,01/04/00,A,MAR DEL PLATA,,
206,2884,S95,01/04/00,A,MAR DEL PLATA,GRAL. M. S. BELGRANO,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
201,734,1999,01/04/00,N,CHASCOMUS,,
204,734,1995,01/04/00,N,CHASCOMUS,,
206,1487,S95,01/04/00,A,LA PLATA,,
210,5088,2000,01/04/00,E,TANDIL,,
204,6261,1995,01/04/00,A,TANDIL,,
204,4459,1995,01/04/00,A,TANDIL,,
206,3336,S95,01/04/00,A,ROSARIO,,
204,4415,1995,01/04/00,P,SAN CARLOS DE BARILOCHE,,
209,6468,1998,01/04/00,A,RAUCH,,
206,6150,S95,01/04/00,A,SANTA ROSA,,
206,5820,S95,01/04/00,E,MAR DEL PLATA,BACHILLER NACIONAL SAN JUAN,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
206,4825,S95,01/04/00,A,MAR DEL PLATA,,
210,4395,2000,01/04/00,A,TAPALQUE,,
206,2700,S95,01/04/00,A,TANDIL,ANTONIO DE LA TORRE,BACHILLER
206,4505,S95,01/04/00,A,MAR DEL PLATA,,
206,826,S95,01/04/00,A,Ciudad Autónoma de Buenos Aires,SANTA MARIA,TÉCNICO ELECTRICISTA
206,4464,S95,01/04/00,A,BALCARCE,INSTITUTO MOMSEÑOR DR. AUDINO RODRIGUEZ Y OLMOS,TÉCNICO ELECTROMECANICO
206,6344,S95,01/04/00,N,TANDIL,COLEGIO SEC.AUGUSTO PULENTA,TÉCNICO EN COMPUTACION
205,6344,2004,01/03/04,A,TANDIL,COLEGIO SEC.AUGUSTO PULENTA,TÉCNICO EN COMPUTACION
210,1437,2000,01/04/00,A,TANDIL,PADRE CLARET,BACHILLER CONTABLE
206,2590,S95,01/04/00,A,BENITO JUAREZ,,
209,1516,1998,01/04/00,A,TAPALQUE,MONS. AMERICO ORZALI,TÉCNICO QUIMICO
210,371,2000,01/04/00,E,TANDIL,,
201,2284,1999,01/04/00,E,,ALFONSINA STORNI,BACHILLER CON ORIENTACION TECNICAS DE LABORATORIO
205,2284,1995,01/04/00,A,,ALFONSINA STORNI,BACHILLER CON ORIENTACION TECNICAS DE LABORATORIO
206,2097,S95,01/04/00,A,MAR DEL PLATA,,
201,3616,1999,01/04/00,A,ADOLFO GONZALES CHAVES,,
206,1648,S95,01/04/00,A,BOLIVAR,,
206,2446,S95,01/04/00,A,CHILLAR,ESCUELA DE COMERCIO GENERAL SAN MARTIN,BACHILLER CON ORIENTACION EN GEST. Y ADMINISTRACION
206,4410,S95,01/04/00,E,TRES ARROYOS,ESCUELA DE COMERCIO NICOLAS ECHEZARRETA,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
206,5569,S95,01/04/00,A,CORDOBA,,BACHILLER
206,5022,S95,01/04/00,A,,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
212,5022,2007,04/09/07,A,,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
206,3137,S95,01/04/00,E,BALCARCE,INSTITUTO MOMSEÑOR DR. AUDINO RODRIGUEZ Y OLMOS,TÉCNICO ELECTROMECANICO
201,5812,1999,01/04/00,A,,INSTITUTO MOMSEÑOR DR. AUDINO RODRIGUEZ Y OLMOS,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
205,5812,1995,01/04/00,A,,INSTITUTO MOMSEÑOR DR. AUDINO RODRIGUEZ Y OLMOS,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
206,1584,S95,01/04/00,A,MAR DEL PLATA,SAN JOSE,BACHILLER CON ORIENTACION EN CIENCIAS SOCIALES
206,3957,S95,01/04/00,A,,,PERITO MERCANTIL C/ESPECI.CONTABLE IMPOS
210,6049,2000,01/04/00,E,TANDIL,,
201,3714,1999,01/04/00,E,TANDIL,COLEGIO SEC SAN FRANCISCO DE ASIS,BACHILLER EN CIENCIAS EXACTAS Y NATURALES
205,3714,1995,01/04/00,A,TANDIL,COLEGIO SEC SAN FRANCISCO DE ASIS,BACHILLER EN CIENCIAS EXACTAS Y NATURALES
206,6157,S95,01/04/00,E,GENERAL PIRAN,SANTA ROSA DE LIMA,BACHILLER EN GESTION Y ADMINISTRACION
206,5682,S95,01/04/00,E,,SAN AGUSTIN,PERITO MERCANTIL
206,2172,S95,01/04/00,A,AZUL,MONS. AMERICO ORZALI,BACHILLER CON ESPECIALIZACION EN GESTION Y ADMINISTRACION
206,3993,S95,01/04/00,A,MAR DEL PLATA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER
206,5558,S95,01/04/00,A,TANDIL,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER CON ORIENTACION PEDAGOGICA
206,4866,S95,01/04/00,N,MAR DEL PLATA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,PERITO MERCANTIL
206,2494,S95,01/04/00,A,MAR DEL PLATA,,
206,1158,S95,01/04/00,A,MAR DEL PLATA,,BACHILLER BILINGüE ESP. EN LETRAS
201,4099,1999,01/04/00,A,BENITO JUAREZ,,
210,2228,2000,01/04/00,A,SAN ISIDRO,,
206,2285,S95,01/04/00,E,Ciudad Autónoma de Buenos Aires,,BACHILLER
206,4205,S95,01/04/00,A,MAR DEL PLATA,ESCUELA NACIONAL DE COMERCIO NOCTURNA DOCTOR SANTIAGO SEGUNDO CORTINEZ,BACHILLER CON ORIENTACION EN INFORMATICA
206,5700,S95,01/04/00,A,TANDIL,,
210,3588,2000,01/04/00,A,TANDIL,,
210,5904,2000,01/04/00,A,TANDIL,,
206,6211,S95,01/04/00,A,MAR DEL PLATA,,
210,1725,2000,01/04/00,E,BENITO JUAREZ,,
210,2255,2000,01/04/00,A,TANDIL,ALFONSINA STORNI,BACHILLER CON ESPECIALIZACION EN COMUNICACION SOCIAL
212,2255,2007,24/09/07,E,TANDIL,ALFONSINA STORNI,BACHILLER CON ESPECIALIZACION EN COMUNICACION SOCIAL
206,5914,S95,01/04/00,A,MAR DEL PLATA,,
206,3273,S95,01/04/00,A,TANDIL,AGUSTIN ALVAREZ,BACHILLER EN CIENCIAS EXACTAS
209,5769,1998,01/04/00,A,Ciudad Autónoma de Buenos Aires,,
206,3342,S95,01/04/00,A,GENERAL MADARIAGA,LICEO PAULA ALBARRACIN DE SARMIENTO,BACHILLER CON ORIENTACION AGRICOLA
206,3146,S95,01/04/00,A,TRES ARROYOS,ESCUELA DE COMERCIO NICOLAS ECHEZARRETA,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
212,3146,2007,05/09/07,A,TRES ARROYOS,ESCUELA DE COMERCIO NICOLAS ECHEZARRETA,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
206,3831,S95,01/04/00,E,MAR DEL PLATA,AGROINDUSTRIAL VIDELA CUELLO,BACHILLER
206,5192,S95,01/04/00,A,VIEDMA,,
206,1918,S95,01/04/00,A,TANDIL,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,
206,2967,S95,01/04/00,E,BALCARCE,GRAL. M. S. BELGRANO,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
210,3119,2000,01/04/00,E,OLAVARRIA,,
210,1427,2000,01/04/00,N,LAS FLORES,,
210,462,2000,01/04/00,E,JUAN N. FERNANDEZ,4 - 107 EJERCITO ARGENTINO,PERITO MERCANTIL
206,1212,S95,01/04/00,E,TANDIL,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
203,5255,1999,01/04/00,N,,AGROTECNICA GONZALO A. DOBLAS,BACHILLER CON ORIENTACION EN INFORMATICA
206,5255,S95,01/04/00,N,,AGROTECNICA GONZALO A. DOBLAS,BACHILLER CON ORIENTACION EN INFORMATICA
209,5255,1998,01/04/00,A,,AGROTECNICA GONZALO A. DOBLAS,BACHILLER CON ORIENTACION EN INFORMATICA
206,1398,S95,01/04/00,A,OLAVARRIA,J. L. BORGES,
212,1398,2007,26/02/13,A,OLAVARRIA,J. L. BORGES,
206,909,S95,01/04/00,A,MAR DEL PLATA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER COMERCIAL
206,4912,S95,01/04/00,A,SALADILLO,,
206,6253,S95,01/04/00,A,OLAVARRIA,,
206,4171,S95,01/04/00,A,Ciudad Autónoma de Buenos Aires, ESCUELA PROVINCIAL DE EDUCACION TECNICA NRO.4 JUAN AGUSTIN LARRUS,TÉCNICO MECANICO ELECTRICISTA
206,1614,S95,01/04/00,N,AZUL,FRAY MAMERTO ESQUIU,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
210,1614,2000,01/04/00,E,AZUL,FRAY MAMERTO ESQUIU,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
206,4520,S95,01/04/00,A,BAHIA BLANCA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER
210,4208,2000,01/04/00,A,OLAVARRIA,ANTONIO QUARANTA Nº79,Bachiller Especializado en Ciencias Físico-Matemáticas
201,1752,1999,01/04/00,N,TANDIL,,
210,1752,2000,01/04/00,N,TANDIL,,
203,1762,1999,01/04/00,N,,CACIQUE ANGACO,PERITO MERCANTIL
209,1762,1998,01/04/00,A,,CACIQUE ANGACO,PERITO MERCANTIL
210,3689,2000,01/04/00,A,TANDIL,,
206,3679,S95,01/04/00,A,NECOCHEA,,
206,1993,S95,01/04/00,A,Ciudad Autónoma de Buenos Aires,,
212,1993,2007,05/09/07,A,Ciudad Autónoma de Buenos Aires,,
206,4133,S95,01/04/00,A,MAR DEL PLATA,,
210,2042,2000,01/04/00,E,TANDIL,CACIQUE ANGACO,PERITO MERCANTIL
201,1810,1999,01/04/00,E,TANDIL, 9 DE JULIO CORDOBA 3271,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
205,1810,1995,01/04/00,A,TANDIL, 9 DE JULIO CORDOBA 3271,BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES
206,2184,S95,01/04/00,E,,CACIQUE ANGACO,PERITO MERCANTIL
210,719,2000,01/04/00,E,BAHIA BLANCA,PBRO. FRANCISCO PEREZ HERNANDEZ,BACHILLER CON ESPECIALIZACION EN ADMINISTRACION
206,6277,S95,01/04/00,A,PEHUAJO,ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN,TÉCNICO EN COMPUTACION
206,2875,S95,01/04/00,E,TANDIL,COLEGIO SEC.AUGUSTO PULENTA,TÉCNICO EN COMPUTACION
206,5312,S95,01/04/00,A,Ciudad Autónoma de Buenos Aires,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
206,1060,S95,01/04/00,A,AZUL,E.P.E.T. Nº1 ING. ROGELIO BOERO,BACHILLER CON ORIENTACION EN CIENCIAS SOCIALES
210,3304,2000,01/04/00,A,TANDIL,,
206,2583,S95,01/04/00,A,MAR DEL PLATA,AGROINDUSTRIAL 25 DE MAYO,BACHILLER CON ORIENTACION EN CIENCIAS EXACTAS
210,3101,2000,01/04/00,A,TANDIL,ALFONSINA STORNI,BACHILLER CON ORIENTACION EN TECNICAS DE LABORATORIO
206,5907,S95,01/04/00,N,BOLIVAR,ESCUELA AGROTECNICA EJERCITO ARGENTINO,BACHILLER MERCANTIL
